

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
084.446  000.070  000.070: require('go.complete')
084.646  000.143  000.143: require('go.runner')
084.649  000.200  000.057: require('go.mod')
085.073  000.062  000.062: require('nvim-autopairs._log')
085.220  000.145  000.145: require('nvim-autopairs.utils')
085.678  000.216  000.216: require('nvim-autopairs.conds')
085.684  000.359  000.143: require('nvim-autopairs.rule')
085.686  000.464  000.105: require('nvim-autopairs.rules.basic')
085.695  001.035  000.363: require('nvim-autopairs')
085.881  083.373  007.388: sourcing /home/pedro/.config/nvim/init.lua
085.888  000.961: sourcing vimrc file(s)
086.222  000.022  000.022: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/dart-vim-plugin/ftdetect/dart.vim
086.298  000.044  000.044: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/go.nvim/ftdetect/filetype.vim
086.391  000.013  000.013: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-elixir/ftdetect/elixir.vim
086.430  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
086.465  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/flow.vim
086.492  000.017  000.017: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-javascript/ftdetect/javascript.vim
086.600  000.008  000.008: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/css.vim
086.618  000.008  000.008: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/graphql.vim
086.633  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/html.vim
086.649  000.007  000.007: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/javascript.vim
086.664  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/json.vim
086.678  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/less.vim
086.693  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/lua.vim
086.714  000.012  000.012: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/markdown.vim
086.730  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/php.vim
086.745  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/ruby.vim
086.759  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/scss.vim
086.774  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/svelte.vim
086.791  000.008  000.008: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/typescript.vim
086.805  000.005  000.005: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/vue.vim
086.820  000.005  000.005: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/xml.vim
086.836  000.007  000.007: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/yaml.vim
086.872  000.006  000.006: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-svelte/ftdetect/svelte.vim
086.942  000.007  000.007: sourcing /usr/share/vim/vimfiles/ftdetect/PKGBUILD.vim
086.956  000.006  000.006: sourcing /usr/share/vim/vimfiles/ftdetect/SRCINFO.vim
086.974  000.009  000.009: sourcing /usr/share/vim/vimfiles/ftdetect/conkyrc.vim
087.201  001.143  000.900: sourcing /usr/share/nvim/runtime/filetype.lua
087.415  000.048  000.048: sourcing /usr/share/nvim/runtime/syntax/synload.vim
087.514  000.254  000.206: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
088.327  000.095  000.095: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
088.345  000.006  000.006: sourcing /usr/share/nvim/runtime/plugin/health.vim
088.638  000.102  000.102: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
088.701  000.346  000.244: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
088.802  000.091  000.091: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
088.824  000.010  000.010: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
088.911  000.005  000.005: sourcing /home/pedro/.local/share/nvim/rplugin.vim
088.915  000.082  000.077: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
088.961  000.037  000.037: sourcing /usr/share/nvim/runtime/plugin/shada.vim
088.989  000.014  000.014: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
089.069  000.070  000.070: sourcing /usr/share/nvim/runtime/plugin/tarPlugin.vim
089.136  000.051  000.051: sourcing /usr/share/nvim/runtime/plugin/tohtml.vim
089.172  000.012  000.012: sourcing /usr/share/nvim/runtime/plugin/tutor.vim
089.275  000.091  000.091: sourcing /usr/share/nvim/runtime/plugin/zipPlugin.vim
089.669  000.331  000.331: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
090.098  000.373  000.373: sourcing /home/pedro/.config/nvim/plugin/packer_compiled.lua
090.290  000.034  000.034: sourcing /usr/share/nvim/runtime/plugin/editorconfig.lua
090.358  000.053  000.053: sourcing /usr/share/nvim/runtime/plugin/man.lua
090.407  000.033  000.033: sourcing /usr/share/nvim/runtime/plugin/nvim.lua
090.444  001.430: loading rtp plugins
090.739  000.017  000.017: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
092.617  001.757  001.757: require('vim.filetype')
092.879  002.091  000.334: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.lua
094.483  000.353  000.353: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/copilot.vim/autoload/copilot.vim
094.509  001.470  001.117: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/copilot.vim/plugin/copilot.vim
094.636  000.043  000.043: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/dart-vim-plugin/plugin/dart.vim
094.791  000.015  000.015: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
095.084  000.109  000.109: require('cmp.utils.highlight')
095.356  000.450  000.341: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
095.524  000.095  000.095: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
096.553  000.956  000.956: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
096.867  000.100  000.100: require('nvim-treesitter.statusline')
097.049  000.180  000.180: require('nvim-treesitter.query_predicates')
097.052  000.375  000.094: require('nvim-treesitter')
097.287  000.641  000.266: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
097.374  000.028  000.028: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
097.482  000.020  000.020: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
097.830  000.258  000.258: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
098.247  000.345  000.345: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-eunuch/plugin/eunuch.vim
098.394  000.069  000.069: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-flutter/plugin/flutter.vim
099.119  000.652  000.652: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-fugitive/plugin/fugitive.vim
099.390  000.161  000.161: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-prettier/plugin/prettier.vim
099.665  000.202  000.202: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/vim-surround/plugin/surround.vim
099.780  000.008  000.008: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
099.901  001.937: loading packages
100.463  000.052  000.052: require('cmp_buffer.timer')
100.468  000.239  000.187: require('cmp_buffer.buffer')
100.471  000.361  000.122: require('cmp_buffer.source')
100.473  000.394  000.033: require('cmp_buffer')
100.537  000.474  000.080: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
100.783  000.182  000.182: require('cmp_cmdline')
100.804  000.217  000.035: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
101.122  000.133  000.133: require('cmp_nvim_lsp.source')
101.126  000.260  000.127: require('cmp_nvim_lsp')
101.140  000.284  000.024: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
101.388  000.191  000.191: require('cmp_path')
101.404  000.218  000.027: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
101.618  000.146  000.146: require('cmp_luasnip')
101.669  000.217  000.071: sourcing /home/pedro/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
101.686  000.373: loading after plugins
101.694  000.008: inits 3
105.071  003.377: reading ShaDa
105.390  000.134  000.134: require('luasnip.loaders.from_lua')
105.574  000.164  000.164: require('luasnip.loaders.from_snipmate')
105.771  000.182  000.182: require('luasnip.loaders.from_vscode')
